Pillar,Priority,HighEd,ResOrg,PubOrg,Private,Other
Cross-theme,CROSST,1.6,1.5,0.7,7,0
Euratom,EURATOM,36.6,7.4,0,0.8,0.4
I,ERC,838,88.4,8.8,18.6,0
I,MSCA,186.9,41.2,5,26.3,7.8
I,FET,141.3,13.1,12.2,35,0.3
I,INFRA,34.5,97.4,2.1,4,3.7
II,LEIT-ICT,49.1,25.2,1,60.7,3.6
II,LEIT-ADVMANU,16.1,6.5,0.7,19.4,0
II,LEIT-ADVMAT,8.6,0.9,1.9,8.7,1.6
II,LEIT-SPACE,4.6,3.2,0,5.2,0.1
II,LEIT-NMP,3.4,1.7,0,2.7,0
II,LEIT-BIOTECH,2,0,0.5,2.7,0.1
II,INNOSUPSME,0,0.2,1.1,99,0.6
II,LEIT,0,0,0,0.1,0
II,RISKFINANCE,0,0,0,0,0
III,HEALTH,38.5,31.4,12.9,26.9,29.9
III,ENERGY,35.5,9.7,2.9,36.7,6
III,ENV,18.8,7.7,8.8,7.8,2.4
III,FOOD,16.4,15.8,10.2,15.2,1.6
III,TPT,14.6,4.5,2.6,38.3,1.3
III,SOCIETY,3.8,1.1,0.5,0.7,0.5
III,SECURITY,2.9,5.3,0.4,13.5,0.6
III,SOCCHAL-CROSST,0,0,0,9,0.1
IV,TWINING,2.2,0.4,0.3,0.3,0
IV,WIDESPREAD,1.6,1.4,0,0,0
V,INEGSOC,1.2,0.6,0.2,0.2,0
V,GOV,0.5,0,0,0,0
V,CAREER,0.4,0.2,0,0.1,0
V,RESACCESS,0.3,0,0,0,0.1
V,SWAFS-CROSST,0.3,0,0,0,0.3
V,GENDEREQ,0,0,0,0,0
V,SCIENCE,0,0,0,0,0.2
