Country,EU Contribution,contrib_txt
Other,15278010443,"€15,278,010,443.00"
Germany,9967298990.07,"€9,967,298,990.07"
United Kingdom,7746229297.139999,"€7,746,229,297.14"
France,7341926594.79,"€7,341,926,594.79"
Spain,6336853992.7,"€6,336,853,992.70"
Italy,5618964352.78,"€5,618,964,352.78"
Netherlands,5327921519.59,"€5,327,921,519.59"
Belgium,3389137038.73,"€3,389,137,038.73"
Switzerland,2396625674.38,"€2,396,625,674.38"
Sweden,2291258778.85,"€2,291,258,778.85"
Austria,1922867584.4,"€1,922,867,584.40"
